Section,C9025,C9032,C10525,C10532,C14025,C14032,C16025,C16032,
Depth d (mm),90,90,105,105,140,140,160,160,
Thickness t (mm),2.5,3.2,2.5,3.2,2.5,3.2,2.5,3.2,
Weight (kg/m),5.72,7.24,6.02,7.62,6.71,8.5,7.1,9,
Area (mm2),729,922,766,970,854,1083,904,1147,
Ixx (cm4),101.46,126.84,143.8,180.23,276.17,347.54,374.49,472.02,
Zxx (cm3),22.45,28.19,27.37,34.33,39.42,49.65,46.63,59,
rxx (mm),37.68,37.37,43.74,43.43,57.43,57.11,65.01,64.67,
Iyy (cm4),78.44,97.7,83.2,103.69,92.67,115.59,97.25,121.35,
Zyy (cm3),15.11,18.81,15.49,19.3,16.17,20.17,16.47,20.55,
ryy (mm),33.13,32.8,33.27,32.94,33.27,32.93,33.13,32.79,
x (mm),39.32,39.65,37.52,37.84,33.93,34.25,32.19,32.52,
Aeff (mm2),697,905,709,942,713,983,713,987,
Mcx (kNm),8.4,10.99,10.23,13.39,14.8,19.38,17.34,23.04,
Mcy (kNm),5.89,7.33,6.04,7.52,6.3,7.86,6.42,8.01,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
