Section,Depth d (mm),Thickness t (mm),Weight (kg/m),Area (mm2),Ixx (cm4),Zxx (cm3),rxx (mm),Iyy (cm4),Zyy (cm3),ryy (mm),Mcx (kNm),Mcy (kNm)
EB16020,160,2,6.04,752,305.18,38.16,63.71,72.04,12.55,30.95,12.88,4.89
EB16025,160,2.5,7.5,944,378.32,47.3,63.32,88.21,15.4,30.58,17.81,6.01
EB16032,160,3.2,9.5,1198,476.61,59.59,63.08,110.19,19.21,30.33,23.29,7.49
EB24020,240,2,7.29,908,787.1,65.6,93.11,73.98,12.43,28.55,21.21,4.85
EB24025,240,2.5,9.07,1140,979.91,81.68,92.73,90.01,15.23,28.1,29.6,5.94
EB24032,240,3.2,11.51,1450,1238.37,103.22,92.42,112.75,19.02,27.89,40.03,7.42
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
