Section No,Depth d (mm),Thickness t (mm),Top Flange a (mm),"Btm.
Flange b (mm)",Weight (kg/m),Area (mm2),Ixx (cm4),Zxx (cm3),Iyy (cm4),ryy (mm),x (mm),y (mm)
2/22514,225,1.4,78,68,4.47,570,417.8,36.38,59.72,32.98,75.1,114.85
2/22515,225,1.5,78,68,4.79,610,448.2,39.02,64.11,32.98,75.15,114.85
2/22516,225,1.6,78,68,5.1,650,478.4,41.66,68.49,32.98,75.2,114.85
2/22518,225,1.8,78,68,5.73,731,538.7,46.9,77.23,32.98,75.3,114.85
2/22520,225,2,78,68,6.37,811,598.6,52.12,85.95,32.97,75.4,114.85
2/22525,225,2.5,78,68,7.94,1011,746.9,65.03,107.65,32.96,75.65,114.85
2/24514,245,1.4,78,68,4.69,598,510.7,40.88,59.73,32.2,75.02,124.94
2/24515,245,1.5,78,68,5.02,640,547.9,43.85,64.12,32.2,75.07,124.94
2/24516,245,1.6,78,68,5.35,682,548.9,46.81,68.5,32.2,75.12,124.94
2/24518,245,1.8,78,68,6.02,767,658.6,52.72,77.24,32.19,75.22,124.94
2/24520,245,2,78,68,6.68,851,732,58.59,85.96,32.19,75.32,124.94
2/24525,245,2.5,78,68,8.31,1058,913.7,73.13,107.66,32.22,75.57,124.94
2/26515,265,1.5,78,68,5.26,670,659.9,48.88,64.13,31.47,74.99,135.01
2/26516,265,1.6,78,68,5.61,714,704.5,52.18,68.5,31.47,75.04,135.01
2/26518,265,1.8,78,68,6.3,803,793.5,58.77,77.25,31.47,75.14,135.01
2/26520,265,2,78,68,6.99,891,882,65.33,85.97,31.46,75.24,135.01
2/26525,265,2.5,78,68,8.72,1111,1101.4,81.58,107.68,31.45,75.49,135.01
2/26530,265,3,78,68,10.44,1330,1318,97.62,129.25,31.44,75.74,135.02
2/28515,285,1.5,78,68,5.49,700,784.9,54.1,64.13,30.79,74.92,145.08
2/28516,285,1.6,78,68,5.86,746,838.1,57.77,68.51,30.79,74.97,145.08
2/28518,285,1.8,78,68,6.58,839,944,65.06,77.26,30.78,75.07,145.09
2/28520,285,2,78,68,7.31,931,1049.4,72.33,85.98,30.78,75.17,145.09
2/28525,285,2.5,78,68,9.11,1161,1310.9,90.35,107.69,30.77,75.42,145.09
2/28530,285,3,78,68,10.91,1390,1569.2,108.15,129.27,30.75,75.67,145.09
